run	read	path
J416d	R2	rawdata/WAR4048A1_419/J416d_S419_L002_R2_001.fastq.gz
J357	R2	rawdata/WAR4048A1_31/J357_S31_L002_R2_001.fastq.gz
J357	R1	rawdata/WAR4048A1_31/J357_S31_L002_R1_001.fastq.gz
J357	R1	rawdata/WAR4048A1_31/J357_S31_L001_R1_001.fastq.gz
J357	R2	rawdata/WAR4048A1_31/J357_S31_L001_R2_001.fastq.gz
J418c	R2	rawdata/WAR4048A1_335/J418c_S335_L001_R2_001.fastq.gz
J418c	R1	rawdata/WAR4048A1_335/J418c_S335_L001_R1_001.fastq.gz
J418c	R1	rawdata/WAR4048A1_335/J418c_S335_L002_R1_001.fastq.gz
J418c	R2	rawdata/WAR4048A1_335/J418c_S335_L002_R2_001.fastq.gz
J404	R2	rawdata/WAR4048A1_126/J404_S126_L002_R2_001.fastq.gz
J404	R1	rawdata/WAR4048A1_126/J404_S126_L001_R1_001.fastq.gz
J404	R2	rawdata/WAR4048A1_126/J404_S126_L001_R2_001.fastq.gz
J404	R1	rawdata/WAR4048A1_126/J404_S126_L002_R1_001.fastq.gz
J295-rep	R2	rawdata/WAR4048A1_161/J295-rep_S161_L002_R2_001.fastq.gz
J295-rep	R2	rawdata/WAR4048A1_161/J295-rep_S161_L001_R2_001.fastq.gz
J295-rep	R1	rawdata/WAR4048A1_161/J295-rep_S161_L001_R1_001.fastq.gz
J295-rep	R1	rawdata/WAR4048A1_161/J295-rep_S161_L002_R1_001.fastq.gz
J424e	R1	rawdata/WAR4048A1_431/J424e_S431_L002_R1_001.fastq.gz
J424e	R2	rawdata/WAR4048A1_431/J424e_S431_L001_R2_001.fastq.gz
J424e	R2	rawdata/WAR4048A1_431/J424e_S431_L002_R2_001.fastq.gz
J424e	R1	rawdata/WAR4048A1_431/J424e_S431_L001_R1_001.fastq.gz
J376a	R1	rawdata/WAR4048A1_266/J376a_S266_L002_R1_001.fastq.gz
J376a	R1	rawdata/WAR4048A1_266/J376a_S266_L001_R1_001.fastq.gz
J376a	R2	rawdata/WAR4048A1_266/J376a_S266_L001_R2_001.fastq.gz
J376a	R2	rawdata/WAR4048A1_266/J376a_S266_L002_R2_001.fastq.gz
J376	R2	rawdata/WAR4048A1_332/J376_S332_L001_R2_001.fastq.gz
J376	R1	rawdata/WAR4048A1_332/J376_S332_L002_R1_001.fastq.gz
J376	R1	rawdata/WAR4048A1_332/J376_S332_L001_R1_001.fastq.gz
J376	R2	rawdata/WAR4048A1_332/J376_S332_L002_R2_001.fastq.gz
J405c	R2	rawdata/WAR4048A1_385/J405c_S385_L001_R2_001.fastq.gz
J405c	R2	rawdata/WAR4048A1_385/J405c_S385_L002_R2_001.fastq.gz
J405c	R1	rawdata/WAR4048A1_385/J405c_S385_L002_R1_001.fastq.gz
J405c	R1	rawdata/WAR4048A1_385/J405c_S385_L001_R1_001.fastq.gz
