"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J424e","plate1-6.0","plate1-6.0~J424e","J424e",,"Y",,,
"J424f","plate1-6.0","plate1-6.0~J424f","J424f",,"Y",,,
"J424g","plate1-6.0","plate1-6.0~J424g","J424g",,"Y",,,
"J425","plate1-6.0","plate1-6.0~J425","J425",,"Y",,,
"J425a","plate1-6.0","plate1-6.0~J425a","J425a",,"Y",,,
"J425b","plate1-6.0","plate1-6.0~J425b","J425b",,"Y",,,
"J425c","plate1-6.0","plate1-6.0~J425c","J425c",,"Y",,,
"J425d","plate1-6.0","plate1-6.0~J425d","J425d",,"Y",,,
"J425e","plate1-6.0","plate1-6.0~J425e","J425e",,"Y",,,
"J425f","plate1-6.0","plate1-6.0~J425f","J425f",,"Y",,,
"J425g","plate1-6.0","plate1-6.0~J425g","J425g",,"Y",,,
"J425h","plate1-6.0","plate1-6.0~J425h","J425h",,"Y",,,
